FALSE,Year Makes: 96 Models: 675,Nickname,Ordinal,Year,Makes: 96,Models: 675,Access Type,DLC Pack,Special Reward/Gift,Direct Access,Rarity,FE Boost,Featured Sale Deadline,Car Value,Car Division,Spec,PI,Class,S,B,H,A,L,O,HP,T,Wt,Wt / HP,%,Displ cc,Aspiration,Engine,Cylinders,Eng,Drive,F Tire/RRim,R Tire/RRim,Track Width,Aero or kit Options,Engine Conversions (hp),Aspiration Options,Naturally Aspirated,Region,Country,Model Family,Open Top,Doors,Steering,Wheels,No lights,Car Themes,0-60 Sec,0-100 Sec,1/4 Mile,Top Speed,60-0 Feet,100-0 Ft,60 mph g's,100mph g's,60-100 sec,MM VIN,FM Debut,FH5 Debut,Forza Debut,Latest game,New to Forza,FM,FH5,FH4,FM7,FH3,FM6,FH2,FM5,FH1,FM4,FM3,FM2,FM1,# Titles,Xbox gen,
FALSE,2020 Acura #6 ARX-05 DPi,Acura #6 ARX-05,3420,2020,Acura,#6 ARX-05 DPi,Reward,FM Update 1,BC Track Tour. gift Feb2024,,,,,"358,000",Forza Proto-H,Race,943,P,6.0,9.5,9.6,7.7,,,600,500,2174,3.62,45,3500,TT,V,6,M,RWD,310/R18,310/R18,,Adjustable,none,none,,N. America,U.S.,Acura ARX,,2,L,4,,,2.470,4.663,10.067,201.0,76.9,186.8,1.61,2.21,2.193,13429,25-Oct-23,,25-Oct-23,FM,FM,R,,,,,,,,,,,,,1,XBO,1
FALSE,2017 Acura NSX Forza Edition,,,2017,Acura,NSX Forza Edition,,,,,,,,,Sport GT,Upgraded,773,S,6.8,6.0,5.9,8.8,,,577,623,3801,6.59,42,,TT,V,6,M,AWD,,,,,,,eng,N. America,U.S.,NSX,,2,L,4,,,2.700,6.400,,184.1,128.4,298.6,1.27,1.32,3.700,12751,,,29-Sep-17,FM7,FM7,,,,FE,,,,,,,,,,1,XBO,0
FALSE,2010 Acura TSX V6,,,2010,Acura,TSX V6,,,,,,,,,Sedan,Factory,375,C,,,,,,,280,354,3664,13.09,,3500,,V,6,F,FWD,,,,,,,,N. America,U.S.,,,4,L,4,,,6.100,,,170.2,,,,,,11649,,,03-Jul-10,FM4,FM3,,,,,,,,,,FM4,DLC,,,2,360,0
FALSE,2009 Acura #66 de Ferran Motorsports ARX-02a,,,2009,Acura,#66 de Ferran Motorsports ARX-02a,,,,,,,,,P1 Racing,Race,990,R1,,,,,,,625,375,1984,3.17,,,,,8,M,RWD,,,,,,,,N. America,U.S.,,Yes,2,R,4,,,2.800,,,211.1,,,,,,11456,,,27-Oct-09,FM4,FM3,,,,,,,,,,FM4,FM3,,,2,360,0
FALSE,2009 Acura #66 de Ferran Motorsports Jim Hall Tribute ARX-02a,,,2009,Acura,#66 de Ferran Motorsports Jim Hall Tribute ARX-02a,,,,,,,,,P1 Racing,Livery,989,R1,,,,,,,625,375,1984,3.17,,4000,NA,V,8,M,RWD,,,,,,,stock,N. America,U.S.,,Yes,2,R,4,,,2.800,,,211.1,,,,,,11730,,,14-Oct-11,FM4,FM4,,,,,,,,,,FM4,,,,1,360,0
FALSE,2008 Acura #15 Lowe's Fernandez ARX-01b,,,2008,Acura,#15 Lowe's Fernandez ARX-01b,,,,,,,,,P2,Race,954,R1,,,,,,,510,284,1764,3.46,,,,,8,M,RWD,,,,,,,,N. America,U.S.,,Yes,2,R,4,,,3.100,,,195.9,,,,,,11453,,,27-Oct-09,FM4,FM3,,,,,,,,,,FM4,FM3,,,2,360,0
FALSE,2008 Acura #26 Andretti-Green Racing ARX-01b,,,2008,Acura,#26 Andretti-Green Racing ARX-01b,,,,,,,,,P2,Livery,954,R1,8.1,,9.8,,,,510,284,1764,3.46,,,,,8,M,RWD,,,,,,,,N. America,U.S.,,Yes,2,R,4,,,3.100,,,195.9,,,,,,11454,,,27-Oct-09,FM4,FM3,,,,,,,,,,FM4,FM3,,,2,360,0
FALSE,2008 Acura #66 de Ferran Motorsports ARX-01b,,,2008,Acura,#66 de Ferran Motorsports ARX-01b,,,,,,,,,P2,Livery,954,R1,,,,,,,510,284,1764,3.46,,,,,8,M,RWD,,,,,,,,N. America,U.S.,,Yes,2,R,4,,,3.100,,,195.9,,,,,,11455,,,27-Oct-09,FM4,FM3,,,,,,,,,,FM4,FM3,,,2,360,0
FALSE,2006 Acura RL A-Spec,,,2006,Acura,RL A-Spec,,,,,,,,,,Factory,399,D,,,,,,,,,,#DIV/0!,,,,,,F,AWD,,,,,,,,N. America,U.S.,,,4,L,4,,,,,,,,,,,,11251,,,29-May-07,FM2,FM2,,,,,,,,,,,,FM2,,1,360,0
FALSE,2005 Acura Forza Motorsport NSX,,,2005,Acura,Forza Motorsport NSX,DLC promo,,,,,,,,Coupe,Upgraded,711,R3,8.2,6.4,6.4,8.1,7.7,,561,387,2575,4.59,,,,,6,M,RWD,,,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,,11457,,,27-Oct-09,FM3,FM3,,,,,,,,,,,DLC,,,1,360,0
FALSE,2005 Acura NSX,,,2005,Acura,NSX,,,,,,,,,Sports,Factory,476,B,,,,,,,290,225,3100,10.69,,3179,NA,V,6,M,RWD,,,,,,,stock,N. America,U.S.,,,2,L,4,,,5.000,,,179.8,,,,,,11004,,,03-May-05,FM4,FM1,,,,,,,,,,FM4,FM3,FM2,FM1,4,360,0
FALSE,2003 Acura 3.2 CL Type-S,,,2003,Acura,3.2 CL Type-S,,,,,,,,,,Factory,,D2,5.3,4.1,4.2,4.8,,,260,232,3446,13.25,62,3200,PDS,V,6,F,FWD,,,,,,,,Asia,Japan,,,2,L,4,,,,,,,,,,,,11002,,,03-May-05,FM1,FM1,,,,,,,,,,,,,FM1,1,360,0
FALSE,2002 Acura #42 Realtime Racing NSX,#42 Acura NSX,,2002,Acura,#42 Realtime Racing NSX,,,,,,,,,GT3,Race,657,S,6.3,6.6,6.6,7.3,7.4,,362,269,2524,6.97,,,,,6,M,RWD,,275,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,,11001,,,03-May-05,FM3,FM1,,,,,,,,,,,FM3,FM2,FM1,3,360,0
FALSE,2002 Acura RSX Type-S,Acura RSX,422,2002,Acura,RSX Type-S,Autoshow,,,,Common,,,"25,000",Retro Hot Hatch,Factory,585,C,5.6,3.5,5.1,3.9,3.0,5.3,200,142,2820,14.10,61,1998,NA,Inline,4,F,FWD,,205,Both,Sport,300,"T, CS",stock,N. America,U.S.,Integra,,2,L,4,,"RPC, DD",6.717,18.019,15.200,148.4,143.8,362.1,0.90,0.92,11.302,11006,,05-Nov-21,03-May-05,FH5,FM1,,FH5,FH4,FM7,FH3,FM6,FH2,DLC,,FM4,FM3,FM2,FM1,11,XBO,0
FALSE,2021 Hyundai i20 N,Hyundai i20 N,3928,2021,Hyundai,i20 N,Buy Cars Base,FM Update 17,,,,,,"48,000",Modern Hot Hatch,Factory,438,C,2.3,2.4,2.7,2.6,,,201,224,2624,13.05,63,1600,T,Inline,4,F,FWD,215,215,,Aftermarket,"212,350, 375, 394, 475, 630",none,,Asia,Korea,,,5,R,4,,,6.100,15.281,13.933,148.4,108.5,278.4,1.13,1.11,9.181,,10-Feb-25,,10-Feb-25,FM,FM,S,,,,,,,,,,,,,1,XBO,0
FALSE,2000 Acura VIS Racing Integra Type-R,VIS Integra,,2000,Acura,VIS Racing Integra Type-R,,,,,,,,,,Race,507,C,,,,,,,225,145,2425,10.78,62,,NA,,,F,FWD,,,,,,,stock,N. America,U.S.,,,2,L,4,,,,,,,,,,,,11007,,,03-May-05,FM2,FM1,,,,,,,,,,,,FM2,FM1,2,360,0
FALSE,1997 Acura NSX,,,1997,Acura,NSX,,,,,,,,,Sports,Factory,471,B,,,,,,,276,224,2998,10.86,,3200,NA,V,6,M,RWD,,,,,,,stock,N. America,U.S.,,,2,L,4,,,4.900,,,173.4,,,,,,11005,,,03-May-05,FM4,FM1,,,,,,,,,,FM4,FM3,FM2,FM1,4,360,0
FALSE,2020 Alejandra's Flatbed Truck,,,2020,Alejandra's,Flatbed Truck,Horizon Promo,,,,,,,,,Traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13201,,,04-Nov-21,FH5,FH5,,HP,,,,,,,,,,,,1,XBO,0
FALSE,2018 Alfa Romeo Stelvio Quadrifoglio,Alfa Romeo Stelvio,,2018,Alfa Romeo,Stelvio Quadrifoglio,DLC store,,,,Common,,,"80,000",Sports Utility Heroes,Factory,752,A,7.2,6.3,5.9,9.0,10.0,,506,442,4361,8.62,50,2891,TT,V,6,F,AWD,,285,Both,Forza,"506, 602, 562v8, 660",none,eng,Europe,Italy,,,5,L,4,,,3.900,9.500,,180.2,222.9,437.2,0.88,0.88,5.600,13034,,,09-Nov-18,FH4,FH4,,,DLC,,,,,,,,,,,1,XBO,0
FALSE,2018 Acura #36 NSX GT3,Acura #36 NSX,3240,2018,Acura,#36 NSX GT3,Buy Cars DLC,FM Race Day,Gift w/DLC,,,,,"307,000",Forza GT3,Race,819,R,4.7,6.7,6.9,6.3,,,522,405,2910,5.57,45,3500,TT,V,6,M,RWD,300/R18,325/R18,,Adjustable,none,none,,N. America,U.S.,Acura NSX,,2,L,4,,,3.300,6.783,11.000,181.8,82.5,206.6,1.47,1.70,3.483,13393,05-Oct-23,,05-Oct-23,FM,FM,DLC,,,,,,,,,,,,,1,XBO,1
FALSE,2016 Alfa Romeo Giulia Quadrifoglio Forza Edition,Alfa Giulia FE,,2016,Alfa Romeo,Giulia Quadrifoglio Forza Edition,Exclusive,,,,FE,Event Influence,,"370,000",Super Saloons,Upgraded,812,S1,7.7,8.1,7.5,7.3,8.9,,506,442,3822,7.55,50,2891,TT,V,6,F,RWD,,285,Both,Forza,"506, 602, 660",none,eng,Europe,Italy,,,4,L,4,,,4.400,10.600,,161.3,143.8,353.6,0.96,1.03,6.200,12952,,,28-Sep-18,FH4,FH4,,,FE,,,,,,,,,,,1,XBO,0
FALSE,2017 Acura NSX,Acura NSX '17,2352,2017,Acura,NSX,Buy Cars Base,,,,Rare,,,"243,000",Modern Sport GT,Factory,731,S,5.2,3.8,3.3,6.1,,,573,623,3803,6.64,42,3493,TT,V,6,M,AWD,245/R19,305/R20,Both,"WB, Forza","375, 562, 603, 630, 788",none,no,N. America,U.S.,Acura NSX,,2,L,4,,,2.700,6.400,10.550,190.7,101.1,252.0,1.17,1.20,3.700,12631,05-Oct-23,05-Nov-21,01-Nov-16,FM,FH3,FM,FH5,FH4,FM7,DLC,,,,,,,,,5,XBO,1
FALSE,2001 Acura Integra Type R,Acura ITR '01,368,2001,Acura,Integra Type R,Buy Cars Base,,,,Common,,,"53,000",Early Sport Compact,Factory,338,D,3.3,1.5,1.9,2.0,,,195,130,2639,13.53,62,1797,NA,Inline,4,F,FWD,195/R15,195/R15,Both,Forza,"212, 350, 375, 394I, 475, 630","T, PDS, CS",stock,N. America,U.S.,Acura Integra,,2,L,4,,"RPC, DD",6.600,17.900,15.200,160.3,113.0,299.1,1.05,1.00,11.300,11003,05-Oct-23,05-Nov-21,03-May-05,FM,FM1,FM,FH5,FH4,FM7,FH3,FM6,DLC,FM5,,FM4,FM3,FM2,FM1,12,XBO,1
FALSE,2011 Alfa Romeo TZ3 Stradale Zagato,,,2011,Alfa Romeo,TZ3 Stradale Zagato,,,,,,,,,Sports,Factory,664,S,,,,,,,640,584,3190,4.98,,8400,NA,V,10,F,RWD,,,,,,,stock,Europe,Italy,,,2,L,4,,,,,,,,,,,,12008,,,02-Apr-13,FH1,FH1,,,,,,,,,DLC,,,,,1,360,0
FALSE,2010 Alfa Romeo 8C Spider,,,2010,Alfa Romeo,8C Spider,,,,,,,,,Open Top,Factory,556,A,,,,,,,450,354,3695,8.21,,,NA,Inline,8,F,RWD,,,,,,,,Europe,Italy,,Yes,2,L,4,,,,,,,,,,,,11952,,,23-Oct-12,FH1,FH1,,,,,,,,,DLC,,,,,1,360,0
FALSE,2009 Alfa Romeo Brera Italia Independent,,,2009,Alfa Romeo,Brera Italia Independent,,,,,,,,,Hatch,Factory,347,D,,,,,,,256,237,3594,14.04,,,,V,6,F,AWD,,,,,,,,Europe,Italy,,,2,L,4,,,7.000,,,147.4,,,,,,11459,,,27-Oct-09,FM4,FM3,,,,,,,,,,FM4,FM3,,,2,360,0
FALSE,2008 Alfa Romeo MiTo,,,2008,Alfa Romeo,MiTo,,,,,,,,,Hatch,Factory,292,D,,,,,,,153,169,2524,16.50,,,,Inline,4,F,FWD,,,,,,,,Europe,Italy,,,2,L,4,,,7.700,,,137.1,,,,,,11461,,,27-Oct-09,FM4,FM3,,,,,,,,,,FM4,FM3,,,2,360,0
FALSE,2007 Alfa Romeo 8C Competizione,Alfa Romeo 8C,1032,2007,Alfa Romeo,8C Competizione,Seasonal,Series 24 cu,,,Epic,,,"300,000",GT Cars,Factory,755,A,7.0,4.9,5.3,5.4,5.5,5.2,450,354,3495,7.77,49,4691,NA,V,8,F,RWD,,285,Both,Forza,"510, 602, 805, 562V8",CS,stock,Europe,Italy,,,2,L,4,,CS,4.200,9.300,,193.4,124.6,305.0,0.97,1.03,5.100,11458,,31-Aug-23,27-Oct-09,FH5,FM3,,cu,FH4,FM7,FH3,FM6,FH2,FM5,FH1,FM4,FM3,,,10,XBO,0
FALSE,2007 Alfa Romeo 8C Competizione Forza Edition,Alfa Romeo 8C FE,,2007,Alfa Romeo,8C Competizione Forza Edition,Exclusive,,,,FE,Credits,,"550,000",GT Cars,Upgraded,855,S1,7.5,8.6,8.4,8.0,9.4,,450,354,3086,6.86,49,4691,NA,V,8,F,RWD,,285,Both,Forza,"510, 602",CS,stock,Europe,Italy,,,2,L,4,,CS,4.200,9.300,,194.6,134.7,302.6,1.34,1.46,5.100,12951,,,28-Sep-18,FH4,FH4,,,FE,,,,,,,,,,,1,XBO,0
FALSE,1992 Alfa Romeo 155 Q4 ,Alfa Romeo 155,1393,1992,Alfa Romeo,155 Q4 ,Seasonal,Series 24 cu,,,Common,,,"250,000",Retro Saloons,Factory,561,C,5.4,2.9,4.4,4.0,4.3,5.7,187,219,3064,16.39,61,1995,T,Inline,4,F,AWD,,205,Both,Aftermarket,"300, 375, 450, 805, 360, 506",none,no,Europe,Italy,,,4,L,4,,RPC,6.700,18.619,,147.2,149.6,381.3,0.87,0.86,11.919,11857,,17-Aug-23,07-Feb-12,FH5,FM4,,cu,cu,FM7,FH3,FM6,,,,DLC,,,,6,XBO,0
FALSE,1992 Alfa Romeo Milano Quadrifoglio Verde,Alfa Milano,,1992,Alfa Romeo,Milano Quadrifoglio Verde,,,,,,,,,Early Sport Touring,Factory,291,E,5.1,3.9,4.0,6.0,,,185,181,2866,15.49,51,2959,NA,V,6,F,RWD,,,,,,,stock,Europe,Italy,,,4,L,4,,RPC,8.122,21.596,15.988,134.3,148.0,367.1,1.00,0.95,13.474,12429,,,28-Jan-16,FM7,FM6,,,,FM7,FH3,DLC,,,,,,,,3,XBO,0
FALSE,1990 Alfa Romeo SZ Sprint Zagato,Alfa Romeo SZ,,1990,Alfa Romeo,SZ Sprint Zagato,,,,,,,,,Early Sport Touring,Factory,369,D,5.7,4.4,4.7,6.4,,,207,181,2778,13.42,56,,NA,V,6,F,RWD,,,,,,,stock,Europe,Italy,,,2,L,4,,,7.000,18.700,14.817,152.6,138.6,344.1,1.09,1.07,11.700,12097,,,30-May-14,FM7,FM5,,,,FM7,,FM6,,DLC,,,,,,3,XBO,0
FALSE,1986 Alfa Romeo GTV-6,Alfa Romeo GTV-6,,1986,Alfa Romeo,GTV-6,,,,,,,,,Early Sport Touring,Factory,276,E,4.9,3.9,4.0,5.7,,,155,157,2840,18.32,51,2500,NA,V,6,F,RWD,,,,,,,stock,Europe,Italy,,,2LB,L,4,,,9.100,25.200,16.800,131.4,143.5,364.7,1.00,0.96,16.100,11867,,,06-Mar-12,FM7,FM4,,,,FM7,,FM6,,DLC,,DLC,,,,4,XBO,0
FALSE,1986 Alfa Romeo Spider Quadrifoglio Verde,Alfa Spider,,1986,Alfa Romeo,Spider Quadrifoglio Verde,,,,,,,,,Sport Compact Icons,Factory,259,E,4.6,3.9,4.2,5.3,,,115,119,2549,22.17,56,1962,NA,Inline,4,F,RWD,,,,,,,stock,Europe,Italy,,Yes,2,L,4,,,9.800,36.700,17.017,121.6,143.0,357.8,1.02,0.97,26.900,11835,,,06-Dec-11,FM7,FM4,,,,FM7,,FM6,FH2,DLC,,DLC,,,,5,XBO,0
FALSE,1970 Alfa Romeo Montreal,Alfa Montreal,,1970,Alfa Romeo,Montreal,,,,,,,,,Vintage Sport GT,Factory,288,E,5.5,3.7,4.0,5.9,,,200,174,2810,14.05,55,2600,NA,V,8,F,RWD,,,,,,,stock,Europe,Italy,,,2,L,4,,,8.000,21.200,15.550,146.8,135.5,347.8,0.99,0.96,13.200,11845,,,03-Jan-12,FM7,FM4,,,,FM7,,,,,,DLC,,,,2,XBO,0
FALSE,1968 Alfa Romeo 33 Stradale,Alfa Romeo 33S,1549,1968,Alfa Romeo,33 Stradale,Autoshow,Series 24 cu,,,Legendary,,,"15,000,000",Classic Racers,Factory,707,A,6.2,3.6,4.4,5.7,5.7,5.0,245,148,1543,6.30,40,1995,NA,V,8,M,RWD,,315,Both,Forza,"300, 375, 475",TT,stock,Europe,Italy,,,2,L,4,,"OR, CS, HR",5.500,11.800,,170.9,145.0,359.1,0.95,0.94,6.300,11935,,15-Aug-23,04-Sep-12,FH5,FM4,,cu,FH4,FM7,FH3,FM6,FH2,DLC,,DLC,,,,8,XBO,0
FALSE,2017 Alfa Romeo Giulia Quadrifoglio,Alfa Giulia '17,2542,2017,Alfa Romeo,Giulia Quadrifoglio,Buy Cars Base,FM Update 4,,,Rare,,24-Jan-2024,"120,000",Modern Sport Touring,Factory,632,A,5.8,3.5,3.1,4.5,4.9,5.0,506,442,3822,7.55,50,2891,TT,V,6,F,RWD,245/R19,285/R19,Both,Forza,"375, 394I, 562, 603, 630, 788",none,eng,Europe,Italy,Alfa Romeo Giulia,,4,L,4,,,3.600,8.100,11.883,197.5,105.5,261.2,1.15,1.16,4.500,12844,01-Feb-24,15-Aug-23,07-Nov-17,FM,FM7,S,cu,FH4,DLC,,,,,,,,,,4,XBO,1
FALSE,1965 Alfa Romeo Giulia TZ2,Alfa Romeo TZ2,2161,1965,Alfa Romeo,Giulia TZ2,Autoshow,Series 24 cu,,,Legendary,,,"4,000,000",Classic Racers,Race,641,B,5.5,3.4,3.9,4.1,3.4,5.3,170,130,1367,8.04,54,1570,NA,Inline,4,F,RWD,,245,Both,Forza,"321, 300, 375, 475",T,stock,Europe,Italy,,,2,L,4,,"CS, HR",5.803,13.312,,152.5,157.0,378.9,0.92,0.93,7.509,12151,,15-Aug-23,30-Sep-14,FH5,FH2,,cu,FH4,FM7,FH3,FM6,FH2,,,,,,,6,XBO,0
FALSE,1958 Alfa Romeo Giulietta Sprint Veloce,Giulietta '58,,1958,Alfa Romeo,Giulietta Sprint Veloce,,,,,,,,,Vintage Sport Compact,Factory,228,E,4.1,3.3,3.6,5.2,,,90,97,1874,20.82,54,,NA,Inline,4,F,RWD,,155,,,,,stock,Europe,Italy,,,2,L,4,,,10.518,36.500,17.333,110.7,137.8,349.2,0.95,0.87,25.982,12893,,,02-Jul-18,FM7,FM7,,,,DLC,,,,,,,,,,1,XBO,0
FALSE,1950 Alfa Romeo 158,Alfa Romeo 158,,1950,Alfa Romeo,158,,,,,,,,,The Birth of Grand Prix,Race,574,B,6.1,4.5,4.9,8.2,,,384,286,1568,4.08,52,,PDS,Inline,8,F,RWD,,,,,,,no,Europe,Italy,,Yes,1,C,4,,,4.117,8.900,12.083,165.4,106.5,277.8,1.13,1.12,4.783,12752,,,29-Sep-17,FM7,FM7,,,,FM7,,,,,,,,,,1,XBO,0
FALSE,1934 Alfa Romeo P3,Alfa Romeo P3,,1934,Alfa Romeo,P3,Exclusive,,,,Legendary,,,"10,000,000",Vintage Racers,Race,626,B,6.6,4.9,5.0,5.6,7.1,,285,300,1653,5.80,50,3165,PDS,Inline,8,F,RWD,,145,no,none,510,none,no,Europe,Italy,,Yes,1,C,4,x,HR,4.489,9.200,12.067,157.9,187.7,461.7,0.74,0.73,4.711,12437,,,15-Mar-16,FH4,FM6,,,Castle,FM7,,DLC,,,,,,,,3,XBO,0
FALSE,1932 Alfa Romeo 8C 2300 Spider,Alfa 8C '32,,1932,Alfa Romeo,8C 2300 Spider,,,,,,,,,The Birth of Grand Prix,Race,290,E,4.4,4.2,4.2,6.5,,,155,173,2185,14.10,52,,PDS,Inline,8,F,RWD,,,,,,,no,Europe,Italy,,Yes,1,R,4,,,9.000,23.000,14.700,120.5,116.5,295.6,1.02,0.98,14.000,12877,,,05-Mar-18,FM7,FM7,,,,DLC,,,,,,,,,,1,XBO,0
FALSE,2014 Alfa Romeo 4C,Alfa Romeo 4C,2038,2014,Alfa Romeo,4C,Buy Cars Base,FM Update 6,,,Rare,,20-Mar-2024,"89,000",Modern Sport Coupe,Factory,522,B,3.1,2.9,3.1,3.5,7.0,5.0,240,238,2077,8.65,41,1742,T,Inline,4,M,RWD,205/R18,235/R19,Both,"Street, Safety Light","350, 394I, 475, 630, 690",none,eng,Europe,Italy,,,2,L,4,,,4.400,11.450,13.100,158.5,108.5,270.1,1.17,1.16,7.050,12186,13-Mar-24,24-Aug-23,04-Nov-14,FM,FH2,S,cu,FH4,FM7,FH3,FM6,DLC,,,,,,,7,XBO,1
